Date,Competition,Venue,Opponent,Portugal Score,Opponent Score
23/03/2025,Nations League,QF,Denmark,5,2
15/11/2024,Nations League,Group,Poland,5,1
15/11/2024,Nations League,Group,Poland,5,1
12/10/2024,Nations League,Group,Poland,3,1
08/09/2024,Nations League,Group,Scotland,2,1
05/09/2024,Nations League,Group,Croatia,2,1
11/06/2024,International Friendly,(H),Republic of Ireland,3,0
11/06/2024,International Friendly,(H),Republic of Ireland,3,0
16/11/2023,Euros Qualifier,(A),Liechtenstein,2,0
16/10/2023,Euros Qualifier,(A),Bosnia and Herzegovina,5,0
16/10/2023,Euros Qualifier,(A),Bosnia and Herzegovina,5,0
13/10/2023,Euros Qualifier,(H),Slovakia,3,2
13/10/2023,Euros Qualifier,(H),Slovakia,3,2
20/06/2023,Euros Qualifier,(A),Iceland,1,0
26/03/2023,Euros Qualifier,(A),Luxembourg,6,0
26/03/2023,Euros Qualifier,(A),Luxembourg,6,0
23/03/2023,Euros Qualifier,(H),Liechtenstein,4,0
23/03/2023,Euros Qualifier,(H),Liechtenstein,4,0
24/11/2022,World Cup,Group,Ghana,3,2
05/06/2022,Nations League,Group,Switzerland,4,0
05/06/2022,Nations League,Group,Switzerland,4,0
12/10/2021,World Cup Qualifier,(H),Luxembourg,5,0
12/10/2021,World Cup Qualifier,(H),Luxembourg,5,0
12/10/2021,World Cup Qualifier,(H),Luxembourg,5,0
09/10/2021,International Friendly,(H),Qatar,3,0
01/09/2021,World Cup Qualifier,(H),Republic of Ireland,2,1
01/09/2021,World Cup Qualifier,(H),Republic of Ireland,2,1
23/06/2021,UEFA Euros,Group,France,2,2
23/06/2021,UEFA Euros,Group,France,2,2
19/06/2021,UEFA Euros,Group,Germany,2,4
15/06/2021,UEFA Euros,Group,Hungary,3,0
15/06/2021,UEFA Euros,Group,Hungary,3,0
09/06/2021,International Friendly,(H),Israel,4,0
30/03/2021,World Cup Qualifier,(A),Luxembourg,3,1
11/11/2020,International Friendly,(H),Andorra,7,0
08/09/2020,Nations League,Group,Sweden,2,0
08/09/2020,Nations League,Group,Sweden,2,0
17/11/2019,Euros Qualifier,(A),Luxembourg,2,0
14/11/2019,Euros Qualifier,(H),Lithuania,6,0
14/11/2019,Euros Qualifier,(H),Lithuania,6,0
14/11/2019,Euros Qualifier,(H),Lithuania,6,0
14/10/2019,Euros Qualifier,(A),Ukraine,1,2
11/10/2019,Euros Qualifier,(H),Luxembourg,3,0
10/09/2019,Euros Qualifier,(A),Lithuania,5,1
10/09/2019,Euros Qualifier,(A),Lithuania,5,1
10/09/2019,Euros Qualifier,(A),Lithuania,5,1
10/09/2019,Euros Qualifier,(A),Lithuania,5,1
07/09/2019,Euros Qualifier,(A),Serbia,4,2
05/06/2019,Nations League,SF,Switzerland,3,1
05/06/2019,Nations League,SF,Switzerland,3,1
05/06/2019,Nations League,SF,Switzerland,3,1
20/06/2018,World Cup,Group,Morocco,1,0
15/06/2018,World Cup,Group,Spain,3,3
15/06/2018,World Cup,Group,Spain,3,3
15/06/2018,World Cup,Group,Spain,3,3
23/03/2018,International Friendly,(N),Egypt,2,1
23/03/2018,International Friendly,(N),Egypt,2,1
07/10/2017,World Cup Qualifier,(A),Andorra,2,0
31/08/2017,World Cup Qualifier,(H),Faroe Islands,5,1
31/08/2017,World Cup Qualifier,(H),Faroe Islands,5,1
31/08/2017,World Cup Qualifier,(H),Faroe Islands,5,1
24/06/2017,Confederations Cup,Group,New Zealand,4,0
21/06/2017,Confederations Cup,Group,Russia,1,0
09/06/2017,World Cup Qualifier,(A),Latvia,3,0
09/06/2017,World Cup Qualifier,(A),Latvia,3,0
28/03/2017,International Friendly,(H),Sweden,2,3
25/03/2017,World Cup Qualifier,(H),Hungary,3,0
25/03/2017,World Cup Qualifier,(H),Hungary,3,0
13/11/2016,World Cup Qualifier,(H),Latvia,4,1
13/11/2016,World Cup Qualifier,(H),Latvia,4,1
10/10/2016,World Cup Qualifier,(A),Faroe Islands,6,0
07/10/2016,World Cup Qualifier,(H),Andorra,6,0
07/10/2016,World Cup Qualifier,(H),Andorra,6,0
07/10/2016,World Cup Qualifier,(H),Andorra,6,0
07/10/2016,World Cup Qualifier,(H),Andorra,6,0
06/07/2016,UEFA Euros,SF,Wales,2,0
22/06/2016,UEFA Euros,Group,Hungary,3,3
22/06/2016,UEFA Euros,Group,Hungary,3,3
09/06/2016,International Friendly,(H),Estonia,7,0
09/06/2016,International Friendly,(H),Estonia,7,0
29/03/2016,International Friendly,(H),Belgium,2,1
13/06/2015,Euros Qualifier,(A),Armenia,3,2
13/06/2015,Euros Qualifier,(A),Armenia,3,2
13/06/2015,Euros Qualifier,(A),Armenia,3,2
14/11/2014,Euros Qualifier,(H),Armenia,1,0
14/10/2014,Euros Qualifier,(A),Denmark,1,0
26/06/2014,World Cup,Group,Ghana,2,1
05/03/2014,International Friendly,(H),Cameroon,5,1
05/03/2014,International Friendly,(H),Cameroon,5,1
19/11/2013,World Cup Qualifier,Play-off,Sweden,3,2
19/11/2013,World Cup Qualifier,Play-off,Sweden,3,2
19/11/2013,World Cup Qualifier,Play-off,Sweden,3,2
15/11/2013,World Cup Qualifier,Play-off,Sweden,1,0
06/09/2013,World Cup Qualifier,(A),Northern Ireland,4,2
06/09/2013,World Cup Qualifier,(A),Northern Ireland,4,2
06/09/2013,World Cup Qualifier,(A),Northern Ireland,4,2
14/08/2013,International Friendly,(H),Netherlands,1,1
10/06/2013,International Friendly,(N),Croatia,1,0
06/02/2013,International Friendly,(H),Ecuador,2,3
07/09/2012,World Cup Qualifier,(A),Luxembourg,2,1
15/08/2012,International Friendly,(H),Panama,2,0
21/06/2012,UEFA Euros,QF,Czech Republic,1,0
17/06/2012,UEFA Euros,Group,Netherlands,2,1
17/06/2012,UEFA Euros,Group,Netherlands,2,1
15/11/2011,Euros Qualifier,Play-off,Bosnia and Herzegovina,6,2
15/11/2011,Euros Qualifier,Play-off,Bosnia and Herzegovina,6,2
11/10/2011,Euros Qualifier,(A),Denmark,1,2
02/09/2011,Euros Qualifier,(A),Cyprus,4,0
02/09/2011,Euros Qualifier,(A),Cyprus,4,0
10/08/2011,International Friendly,(H),Luxembourg,5,0
09/02/2011,International Friendly,(N),Argentina,1,2
12/10/2010,Euros Qualifier,(A),Iceland,3,1
08/10/2010,Euros Qualifier,(H),Denmark,3,1
21/06/2010,World Cup,Group,North Korea,7,0
11/02/2009,International Friendly,(H),Finland,1,0
11/06/2008,UEFA Euros,Group,Czech Republic,3,1
17/10/2007,Euros Qualifier,(A),Kazakhstan,2,1
08/09/2007,Euros Qualifier,(H),Poland,2,2
22/08/2007,Euros Qualifier,(A),Armenia,1,1
24/03/2007,Euros Qualifier,(H),Belgium,4,0
24/03/2007,Euros Qualifier,(H),Belgium,4,0
15/11/2006,Euros Qualifier,(H),Kazakhstan,3,0
07/10/2006,Euros Qualifier,(H),Azerbaijan,3,0
07/10/2006,Euros Qualifier,(H),Azerbaijan,3,0
17/06/2006,World Cup,Group,Iran,2,0
01/03/2006,International Friendly,(N),Saudi Arabia,3,0
01/03/2006,International Friendly,(N),Saudi Arabia,3,0
08/06/2005,World Cup Qualifier,(A),Estonia,1,0
04/06/2005,World Cup Qualifier,(H),Slovakia,2,0
17/11/2004,World Cup Qualifier,(A),Luxembourg,5,0
13/10/2004,World Cup Qualifier,(H),Russia,7,1
13/10/2004,World Cup Qualifier,(H),Russia,7,1
08/09/2004,World Cup Qualifier,(H),Estonia,4,0
04/09/2004,World Cup Qualifier,(A),Latvia,2,0
30/06/2004,UEFA Euros,SF,Netherlands,2,1
12/06/2004,UEFA Euros,Group,Greece,1,2
